,idx,word_guesses,first_pass,solution_words,solution
51,51,larve;somari;ontani,VO larve R somari L ontani,Volar;verso;mar;ilontani,Volar verso mar ilontani
52,52,amo;sai;nave;nera,F amo sai C O nave nera TA,Famosa;icona;venerata,Famosa icona venerata
53,53,lenti;gin;Omar;occhio,lenti G gin O S Omar M occhio,Lentigginoso;marmocchio,Lentigginoso marmocchio
54,54,tir;maniche,AR tir O maniche,Arti;romaniche,Arti romaniche
55,55,cola;anelli;arazzo,S cola R anelli M B arazzo,Scolara;nell;imbarazzo,Scolara nell'imbarazzo
56,56,re;tea;tram;aglio,re tea tram aglio,Rete;a;tramaglio,Rete a tramaglio
57,57,spettatore;divo,SO spettatore CI divo,Sospettato;recidivo,Sospettato recidivo
58,58,est;conca;lama,C est I conca lama RI,Cesti;con;calamari,Cesti con calamari
59,59,prese;Arese;reti,prese R V Arese G reti,Preservare;segreti,Preservare segreti
60,60,avo;teca;adipe;are,avo L teca PI T adipe C C are,A;volte;capita;di;peccare,A volte capita di peccare
61,61,lama;rettile,CA lama rettile SSI,Calamaretti;lessi,Calamaretti lessi
62,62,unti;rosse;va;zio,S P unti P E rosse R va zio NI,Spunti;per;osservazioni,Spunti per osservazioni
63,63,nero;sodo;ore,GE nero sodo N AT ore,Generoso;donatore,Generoso donatore
64,64,rande;more;terno,G rande A more E terno,Grande;amore;eterno,Grande amore eterno
65,65,zucche;agrumi,zucche R O agrumi,Zucchero;a;grumi,Zucchero a grumi
66,66,isola;torero;busto,isola torero busto,Isolatore;robusto,Isolatore robusto
67,67,facce;dadi;riga,facce NDA dadi SB riga RE,Faccenda;da;disbrigare,Faccenda da disbrigare
68,68,fenolo;erme;teli;oro,fenolo GG erme N teli QU oro SI,Fenò;loggermente;liquorosi,Fenò loggermente liquorosi
69,69,nome;tori;colo,U nome T tori DI colo,Un;ometto;ridicolo,Un ometto ridicolo
70,70,faretra;arco;dardi,faretra P EL arco dardi A,Fare;trapelar;codardia,Fare trapelar codardia
71,71,astori;rovo,V astori T rovo,Vasto;ritrovo,Vasto ritrovo
72,72,Mida;mazzo,AR Mida mazzo NI,Armi;d;amazzoni,Armi d'amazzoni
73,73,sci;cote;pista,sci O C cote P pista,Sciocco;teppista,Sciocco teppista
74,74,do;ore;tre;Giano,do T T ore tre VI Giano,Dottore;trevigiano,Dottore trevigiano
75,75,danno;venti,danno SI E venti,Dannosi;eventi,Dannosi eventi
76,76,mira;colo;cono;Talia;nodo,I L mira colo E cono MI COI Talia nodo GGI,Il;miracolo;economico;italiano;d;oggi,Il miracolo economico italiano d'oggi
77,77,ave;rei;dee;ori;gin;ali,ave rei dee ori gin ali,Avere;idee;originali,Avere idee originali
78,78,api;doc;mento,R api doc O M mento,Rapido;commento,Rapido commento
79,79,musi;tino;dame;cani,musi C I S tino R dame R I cani,Musicisti;nordamericani,Musicisti nordamericani
80,80,pera;colt;ree;orma;navi;ara,SA pera S colt A ree orma IU navi R T U R ara,Saper;ascoltare;è;ormai;una;virtù;rara,Saper ascoltare è ormai una virtù rara
81,81,osso;Vi;ali,CA osso Vi ali,Caos;soviali,Caos soviali
82,82,Pi;star;do;Ande,Pi star do L Ande SE,Pistardo;lanḍese,Pistardo lanḍese
83,83,coni;crepe,coni O crepe E,Conio;cr;epée,Conio cr epée
84,84,albatro;va,SCI albatro va TA,Scialba;trovatà,Scialba trovatà
85,85,avola;Asti;Roma;erma,T avola D Asti Roma L F erma,Tavola;da;stiro;malferma,Tavola da stiro malferma
86,86,neri;cori;amo,GE neri cori CH I amo,Generico;richiamo,Generico richiamo
87,87,lacci;con;fusi,UR lacci con fusi,Urlaci;confusi,Urlaci confusi
88,88,cenni;fa,DE cenni fa,Decenni;fa,Decenni fa
89,89,pera;rea;Senna;mente,O pera rea S Senna T A mente,Operare;assennatamente,Operare assennatamente
90,90,tra;letti;in;orsi,tra F I letti in C orsi VO,Trafiletti;in;corsivo,Trafiletti in corsivo
91,91,sci;odi;la,CU sci N odi la NA,Cuscino;di;lana,Cuscino di lana
92,92,amo;perle;terni,amo R E perle terni T A,Amore;per;l;eternità,Amore per l'eternità
93,93,casa;casco;ori,casa C casco L ori T A,Casacca;scolorita,Casacca scolorita
94,94,rima;eredi;tacca,rima N eredi S tacca TI,Rimanere;distaccati,Rimanere distaccati
95,95,mici;di;lega,mici di A lega RA,Micidiale;gara,Micidiale gara
96,96,viole;fili;pica,viole N T A fili P pica,Violenta;filippica,Violenta filippica
97,97,esca;nati;colle;ali,TR esca N ZO nati colle G I ali,Tre;scanzonati;collegiali,Tre scanzonati collegiali
98,98,su;rete;ari,su O rete RZI ari E,Suore;terziarie,Suore terziarie
99,99,vela;sci,DI vela sci V E,Dive;lascive,Dive lascive
100,100,moro;sazi,A moro sazi A,Amorosa;zia,Amorosa zia
101,101,moda;fari,UO moda F fari,Uomo;d;affari,Uomo d'affari
102,102,viole;tre;more,U N viole N T O tre more,Un;violento;tremore,Un violento tremore
103,103,asse;are;oli;tea;ali,asse GN are R U oli tea T R ali,Assegnare;ruoli;teatrali,Assegnare ruoli teatrali
104,104,lancia;ocarina,lancia D EL ocarina,L;ancia;del;ocarina,L'ancia del ocarina
105,105,nonne;Oglio;pere,nonne V Oglio S A pere,Non;ne;voglio;sapere,Non ne voglio sapere
106,106,navi;Sion;topi,U navi Sion EU topi CA,Una;vision;epica,Una vision epica
107,107,astori;adipi;occhio;collo,L astori adipi N occhio DI collo DI,La;storia;di;Pinocchio;di;Colli,"La storia di Pinocchio, di Colli"
108,108,rea;rea;rose;tram,C rea rea M O rose tram E,Creare;amorose;trame,Creare amorose trame
109,109,orse;orse;nate,C orse F orse N nate,Corse;forsennate,Corse forsennate
110,110,strade;erta,MO strade S erta,Mostra;deserta,Mostra deserta
111,111,orso;alce;roditori,C orso alce NT roditori NO,Corso;al;centro;di;Torino,Corso al centro di Torino
112,112,in;scarpe;santi;volte,in N E scarpe santi R I volte,Innescar;pesanti;rivolte,Innescar pesanti rivolte
113,113,sedia;ori;remo,sedia M ori A V remo,Se;diamo;riavremo,Se diamo riavremo
114,114,melone;agente;Edison;tea;zio,TE melone ST agente L Edison ES tea zio NI,Teme;l;onesta;gente;le;disoneste;azioni,Teme l'onesta gente le disoneste azioni
115,115,verde;risma,A verde LCA risma,Aver;del;carisma,Aver del carisma
116,116,lauda;rei;pia,COL lauda rei M pia NTI,Colladure;impianti,Colladure impianti
117,117,Colombia;osti,Colombia RR osti T I,Colombi;arrostiti,Colombi arrostiti
118,118,est;Iran;rosi,G est Iran C O rosi,Gesti;rancorosi,Gesti rancorosi
119,119,aroma;ave;Diana,NOT aroma N Z ave R Diana,Nota;romanza;verdiana,Nota romanza verdiana
120,120,lame;tre;Giano,SA lame tre V I Giano,Salame;trevigiano,Salame trevigiano
121,121,con;fez;nidi;astaco,con fez IO nidi P astaco RTA,Confezioni;di;pasta;corta,Confezioni di pasta corta
122,122,golfo;uno,golfo RT uno SO,Gol;fortunoso,Gol fortunoso
123,123,porta;mento;re;re;ile,COM porta mento IR re P re NS IB ile,Comportamento;irreprensibile,Comportamento irreprensibile
124,124,ossi;denti;gale,P ossi denti SI N gale SI,Possidenti;singalesi,Possidenti singalesi
125,125,do;Cipro;tino;ali,do L Cipro DO T tino S TR ali,Dolci;prodotti;nostrali,Dolci prodotti nostrali
126,126,fa;odi;vasi,fa LL odi N vasi ON E,Fallo;d;invasione,Fallo d'invasione
127,127,su;tir;armi,su DA tir ISP armi,Sudati;risparmi,Sudati risparmi
128,128,tris;mento;disco;orto,tris TE MO mento disco N F orto,Triste;momento;di;sconforto,Triste momento di sconforto
129,129,somaro;stia;tacchi,U somaro stia T tacchi NI,Usoma;rostia;tacchini,"Usoma, rostia tacchini"
130,130,arco;mesi;Era,F arco mesi DES ID Era,Far;come;si;desidera,Far come si desidera
131,131,pere;gin,A pere gin A,Ape;regina,Ape regina
132,132,ora;listino,M ora listino TI,Moralisti;noti,Moralisti noti
133,133,bar;azza;tesi;azione,I M bar azza N tesi T U azione,Imbarazzante;situazione,Imbarazzante situazione
134,134,Sila;tino;zie,E Sila RAN tino TI zie,Esilaranti;notizie,Esilaranti notizie
135,135,si;re;sol;fa;si,IN si NUA re sol O fa L si TA,Insinuare;solo;falsità,Insinuare solo falsità
136,136,mano;tede;sta,CAL mano T tede sta TE,Calma;notte;d;estate,Calma notte d'estate
137,137,nere;dita;ante,U nere dita P E S ante,Un;eredità;pesante,Un'eredità pesante
138,138,notes;nera;Giano,notes E nera DI FA Giano,Note;seradi;fa;giano,Note seradi fa giano
139,139,gole;mi;ari;ree,R E gole mi L I T ari F ER ree,Regole;militari;ferree,Regole militari ferree
140,140,nido;per,BRA nido per A,Brani;d;opera,Brani d'opera
141,141,dama;tellina,LIN dama N tellina,Linda;mantellina,Linda mantellina
142,142,bus;odi;manti,A bus odi C A L manti,Abuso;di;calmanti,Abuso di calmanti
143,143,star;ali;cima;nate,GU star E ali cima R I nate,Gustare;alici;marinate,Gustare alici marinate
144,144,auto;dei;api;Ale,L auto R E dei L C api T Ale,L;autore;di;il;capitate,L'autore di il capitate
145,145,va;ore;sta,va L I D ore GI sta,Valido;regista,Valido regista
146,146,ari;ami;are,M ari N ami LIT are,Marina;militare,Marina militare
147,147,Atena,coll'Era SC Atena TA,Collera;scatenata,Collera scatenata
148,148,bar;inno;man;Di,S bar CO inno R man Di A,Sbarco;in;Normandia,Sbarco in Normandia
149,149,Eva;Erie;anno;ali;rea;orribili;etti,L Eva NT Erie F anno S ali rea G AL orribili F etti,Le;vanterie;fanno;salire;a;galor;i;belfetti,Le vanterie fanno salire a galor i belfetti
150,150,posta;dita,PRO posta A R dita,Proposta;ardita,Proposta ardita
151,151,tra;odorose;di;menta,S tra T odorose di menta RIO,Strato;d;oro;sedimentario,Strato d'oro sedimentario
152,152,Fo;magra,Fo RU magra RI,Forma;grarî,Forma grarî
153,153,trattore;lare,trattore G O lare,Tratto;regolare,Tratto regolare
154,154,lama;nodo;pera;costa,lama nodo pera costa,La;manodopera;costa,La manodopera costa
155,155,stadio;lisca,TE stadio DA lisca,Testa;di;odalisca,Testa di odalisca
156,156,anca;nera,C anca nera SPA,Cancan;e;raspa,Cancan e raspa
157,157,Po;soma;tino,RI Po soma T TU tino,Riposo;mattutino,Riposo mattutino
158,158,lepre;tende,VI lepre tende N T E,Vile;pretendente,Vile pretendente
159,159,Ande;mi;ali,B Ande CRI mi N ali,Bande;criminali,Bande criminali
160,160,la;tomo;mori,VE la tomo R mori O,Velato;mormorio,Velato mormorio
161,161,reo;redi;ago,T reo redi S V ago,Tre;ore;di;svago,Tre ore di svago
162,162,arti;stiva;lenti,arti stiva lenti,Artisti;valenti,Artisti valenti
163,163,avi;are;gola,U N avi T are gola TA,Una;vita;regolata,Una vita regolata
164,164,armo;sette,F armo S sette,Far;mossette,Far mossette
165,165,re;eco;nari,A re eco L L I nari,Aree;collinari,Aree collinari
166,166,cernie;Adamo;are,cernie R Adamo N T are,Cerniera;da;montare,Cerniera da montare
167,167,ali;doge;Era,V ali doge N Era LE,Valido;generale,Valido generale
168,168,osti;epe;rei,S osti EN epe rei RA,Sostiene;periera,Sostiene periera
169,169,re;adipe;pero,C re M adipe pero NI,Crema;di;peperoni,Crema di peperoni
170,170,arti;anitra;pane,arti G I anitra pane SI,Artigiani;trapanesi,Artigiani trapanesi
171,171,sola;piatti,AS sola T ICA piatti,Assolati;capiatti,Assolati capiatti
172,172,Po;ode;dente,Po P OL ode CA dente,Popolo;decadente,Popolo decadente
173,173,su;Diogene;roso;da;topo;posa;mente,su S SI Diogene roso da topo M posa mente,Sussidio;generoso;dato;pomposamente,Sussidio generoso dato pomposamente
174,174,fa;tic;mento;scolare,AF fa tic A mento MU scolare,Affaticamento;muscolare,Affaticamento muscolare
175,175,vela;remo;stia,RI vela remo D E stia,Rivelare;modestia,Rivelare modestia
176,176,verone;retto,PO verone G retto,Povero;negretto,Povero negretto
177,177,cavia;date,S cavia date N E,Scavi;ad;Atene,Scavi ad Atene
178,178,coda;mare,PAC coda mare TTI,Pacco;d;amaretti,Pacco d'amaretti
179,179,mine;tele;messo,E mine N tele GIS messo,Eminente;legislatore,Eminente legislatore
180,180,cetre;ante,DO L cetre MO L ante,Dolce;tremolante,Dolce tremolante
181,181,Capri;Odi;ode;mento,DI Capri Odi V ode L MO mento,Di;caprio;divo;del;momento,Di caprio divo del momento
182,182,con;pera;cono;ore;lesa,con pera R E cono N ore lesa ME,Conperar;eco;nonore;l;esame,Conperar eco nonore l'esame
183,183,ottico;menti,D ottico M menti,Dotti;commenti,Dotti commenti
184,184,cava;Orazio,cava L Orazio TI,Cavallo;rasi,Cavallo rasi
185,185,tre;mantidi,tre mantidi R A,Tremanti;d;ira,Tremanti d'ira
186,186,Ares;tra;dei;Ate,F Ares tra dei S O L Ate,Fare;strade;isolate,Fare strade isolate
187,187,ramo;amo;azza,G ramo LE amo L azza,Gramole;a;molazza,Gramole a molazza
188,188,avi;ori;erta,L avi TT ori AC erta,La;vittoria;certa,La vittoria certa
189,189,in;ossi;zio;ali;menta,in T ossi C A zio N E ali menta RE,Intossicazione;alimentare,Intossicazione alimentare
190,190,avo;ripa;lame;ari,L avo ripa R lame N T ari,Lavori;parlamentari,Lavori parlamentari
191,191,usci;are;oli,S G usci are F A G I oli,Sgusciare;fagioli,Sgusciare fagioli
192,192,aceri;corda;ali;Giove,PI aceri corda RE L ali E.t. A Giove NTU,Piace;ricordare;la;lieta;gioventù,Piace ricordare la lieta gioventù
193,193,iene;rima;oche;mais;pera,V iene P rima CI oche mais I S pera,Viene;prima;ciò;che;mai;si;spera,Viene prima ciò che mai si spera
194,194,porta;tela;oratori;scie;fico,IM porta N tela B oratori O scie NTI fico,Importante;laboratorio;scientifico,Importante laboratorio scientifico
195,195,polo;scope;nato,TI polo scope D I nato,Tipo;losco;pedinato,Tipo losco pedinato
196,196,van;da;bolle,BE van da bolle NTE,Bevanda;bollente,Bevanda bollente
197,197,colle;aironi,colle G aironi C A,Collega;ironica,Collega ironica
198,198,Era;teca;ascia;esche,S Era teca R N ascia L esche,Serate;carnascialesche,Serate carnascialesche
199,199,estive;di,T estive di CI,Testi;vedici,Testi vedici
200,200,porta;mento;ava;ante,COM porta mento ST R ava G ante,Comportamento;stravagante,Comportamento stravagante
201,201,tra;avi;su,tra UM avi S su TO,Trauma;vissuto,Trauma vissuto
202,202,averla;ape;verso,averla LUN ape RT RA verso,Aver;la;luna;per;traverso,Aver la luna per traverso
203,203,mi;reo;oste,mi S U reo PP oste,Misure;opposte,Misure opposte
204,204,un;gas;neve;la,L un gas neve la BA,Lunga;snevela,Lunga snevela
205,205,gomito;lobi;coda;amo,UN gomito lobi A N coda RI C amo,Un;gomitolo;bianco;da;ricamo,Un gomitolo bianco da ricamo
206,206,arse;nidi;tesa,F arse G nidi N tesa,Far;segni;d;intesa,Far segni d'intesa
207,207,indici;idolo,indici BI L idolo RI,Indicibili;dolori,Indicibili dolori
208,208,arenata;tori,G arenata tori E,Gare;natatorie,Gare natatorie
209,209,orse;giare;unta;ari,S orse G giare unta M ari N DO,Sorseggiare;un;tamarindo,Sorseggiare un tamarindo
210,210,vere;arti;cola;risma,A vere UNP arti cola R E CA risma,Avere;un;particolare;carisma,Avere un particolare carisma
211,211,onde;re;cometa,F onde re PO cometa LLO,Fondere;poco;metallo,Fondere poco metallo
212,212,in;postini;tini,in D IS postini PO tini,Indisposti;nipotini,Indisposti nipotini
213,213,re;Di;re;sci;re,P re Di re sci A GU re,Predire;sciagure,Predire sciagure
214,214,ratti;veri;mine,ATT ratti veri mine SI,Attrattive;riminesi,Attrattive riminesi
215,215,ossa;ali;achei;ombra,G R ossa V ali G I achei NG ombra,Grossa;valigia;che;ingombra,Grossa valigia che ingombra
216,216,oca;dadi;orme;Era,L oca N dadi F orme NT Era,Locanda;di;formatiera,Locanda di formatiera
217,217,verme;ori;ala;osa,A verme M ori ala C UN osa,Aver;memoria;lacunosa,Aver memoria lacunosa
218,218,rema;rete;esche,T rema G rete D esche,Tre;magre;tedesche,Tre magre tedesche
219,219,arca;via;fari,F arca TTI via F fari,Far;cattivi;affari,Far cattivi affari
220,220,est;colli;nei;ore,est E SE colli nei NF I ore,Estese;colline;in;fiore,Estese colline in fiore
221,221,menti;nono,S E menti nono GM,Sementi;non;oggi,Sementi non oggi
222,222,est;Ares;orso,PR est Ares O CC orso,Prestare;soccorso,Prestare soccorso
223,223,re;mitico;Lerici,F re mitico L Lerici,Fremiti;collerici,Fremiti collerici
224,224,torri;oca,torri D oca LDO,Torrido;caldo,Torrido caldo
225,225,avo;Ares;ventagli;netti,L avo R Ares P A ventagli netti,Lavorare;spaventa;gl;inetti,Lavorare spaventa gl'inetti
226,226,dive;severi,dive R severi TA,Diverse;verità,Diverse verità
227,227,rovo;are;lira;lama;re,P rovo C are lira DE L lama D re,Provocare;l;ira;della;madre,Provocare l'ira della madre
228,228,Pellico;tesi,AP Pellico R tesi,Appelli;cortesi,Appelli cortesi
229,229,asse;arco;pialla;est,asse ST arco L pialla T est A,Assestar;colpi;alta;testa,Assestar colpi alta testa
230,230,pia;ode;oche,pia TT ode LL oche F,Piatto;dello;chef,Piatto dello chef
231,231,fori;madida;nunzio,A fori S madida N nunzio,Aforisma;di;d;annunzio,Aforisma di d'annunzio
232,232,ance;signora,AV ance signora TE,Avances;ignorate,Avances ignorate
233,233,unte;Terra,unte S Terra TO,Un;test;ratato,Un test ratato
234,234,ramo;ode;Ate,T ramo NT ode ST Ate,Tramonto;d;estate,Tramonto d'estate
235,235,ori;in;ari;orpino;tic,ori G in I ari S T orpino tic HE,Origini;aristopinotiche,Origini aristopinotiche
236,236,arti;area;madri;cala,P arti T area L madri cala L,Partita;real;Madrid;Calalta,Partita real Madrid-Calalta
237,237,api;dei;tori,L api dei S tori A TA,Lapide;istoriata,Lapide istoriata
238,238,osti;mento;tendine,U N osti RA mento tendine O,Uno;stiramento;tendineo,Uno stiramento tendineo
239,239,ora;dimesso,DIM ora dimesso,Dimora;di;Messico,Dimora di Messico
240,240,fa;esca;remo,fa R esca LT remo SSE,Fare;scaltre;mosse,Fare scaltre mosse
241,241,asso;zio;peri;Fermi;menta,asso LU zio NE peri N Fermi TA menta LE,Assoluzione;per;infermità;mentale,Assoluzione per infermità mentale
242,242,nano;Tiziano;radi,U nano Tiziano NG radi TA,Una;notizia;non;gradita,Una notizia non gradita
243,243,occhiali;remi,BAL occhiali remi L LE,Balocchi;a;lire;mille,Balocchi a lire mille
244,244,noce;nodo;Ra,U noce A nodo Ra TO,Un;oceano;dorato,Un oceano dorato
245,245,ramarri;oste,DI ramarri SP oste,Diramar;risposte,Diramar risposte
246,246,ricetta;colo;divi;pere,ricetta colo divi pere,Ricettacolo;di;vipere,Ricettacolo di vipere
247,247,branda;nato,branda F FI nato,Bran;daffinato,Bran daffinato
248,248,api;rami;ali;menta,L api rami D E ali menta RE,La;piramide;alimentare,La piramide alimentare
249,249,oche;pia;pia,CI oche pia CE pia CE,Ciò;che;piace;piace,Ciò che piace piace
250,250,prosa;obi;Che,CU prosa CR obi OTI Che,Cupros;acrobitoiche,Cupros acrobitoiche
251,251,rema;occhi,rema R occhi N O,Re;marocchino,Re marocchino
252,252,Eolo;Giano,MUS Eolo DI Giano,Musoe;lodigiano,Musoe lodigiano
253,253,ambi;asso;nato,B ambi NO asso N nato,Bambino;assonnato,Bambino assonnato
254,254,lima;lati,PE lima C U lati,Peli;maculati,Peli maculati
255,255,Bambi;naso;ave,Bambi naso ave,Bambina;soave,Bambina soave
256,256,accetta;nasse;gnomo;asso,accetta R U nasse gnomo LT OB asso,Accettar;un;assegno;molto;basso,Accettar un assegno molto basso
257,257,Ares;Qua;sito,F Ares Qua sito,Fare;squasito,Fare squasito
258,258,ditale;lava,TRA ditale L lava LLE,Tradita;della;valle,Tradita della valle
259,259,navi;peri;colo,U navi T A peri colo SA,Una;vita;pericolosa,Una vita pericolosa
260,260,tese;zucche,tese NZA zucche RO,Tè;senza;zucchero,Tè senza zucchero
261,261,fa;la;re;si,fa R E la C re si MA,Fare;la;cresima,Fare la cresima
262,262,assi;avi;lama;la,APP assi T avi O lama MMO la,Appassita;viola;mammola,Appassita viola mammola
263,263,non;da;Prodi;Era,U non da Prodi Era,Un;onda;prodiera,Un'onda prodiera
264,264,vite;mi;ali,CA vite R mi N ali,Cavi;terminali,Cavi terminali
265,265,fa;comaschi,fa L comaschi O,Falco;maschio,Falco maschio
266,266,gru;ape;ante,gru C CI ape S ante,Gruccia;pesante,Gruccia pesante
267,267,vere;pera;are,V I vere pera M are,Vivere;per;amare,Vivere per amare
268,268,fa;bilia;coni,AF fa bilia M I coni,Affabili;amiconi,Affabili amiconi
269,269,pie;are;astro;dotto,pie G are L astro NI dotto NE,Piegare;lastrono;d;ottone,Piegare lastrono d'ottone
270,270,di;mora;rea;tea,di mora rea DAM AN tea,Dimorare;ad;Ankara,Dimorare ad Ankara
271,271,gilet;rotto,A gilet IG rotto,Agile;tigrotto,Agile tigrotto
272,272,bilie;ducato,A bilie ducato RI,Abili;educatori,Abili educatori
273,273,piedi;mani;tini,C O piedi mani F E S tini,Copie;di;manifestini,Copie di manifestini
274,274,inca;cola;leva;ore,inca L cola B I leva L ore,Incalcolabile;valore,Incalcolabile valore
275,275,osso;tacchi,GR osso tacchi N O,Grosso;tacchino,Grosso tacchino
276,276,turati;tana,AL turati BE tana,Altura;tibetana,Altura tibetana
277,277,mina;epa;rose,mina C C epa U rose,Minacce;paurose,Minacce paurose
278,278,leva;neri;usci,leva SIO neri usci T A,L;evasione;riuscita,L'evasione riuscita
279,279,con;arpe;re,con T arpe CO re,Contar;pecore,Contar pecore
280,280,lama;tina;adipe;oste,lama T tina T adipe NT EC oste,La;mattinata;di;Pentecoste,La mattinata di Pentecoste
281,281,colle;redi;versi;unti;oro,colle G A redi versi P unti TR AL oro,Collegare;diversi;punti;tra;loro,Collegare diversi punti tra loro
282,282,diva;tir;rum;oro;mente,diva N U tir E rum oro S A mente,Divanutire;rumorosamente,Divanutire rumorosamente
283,283,fa;lira;azze,AF fa BI lira G azze,Affabili;ragazze,Affabili ragazze
284,284,porta;geco;ossa,RE porta geco L ossa L E,Reportage;colossale,Reportage colossale
285,285,si;lira;azze,E si lira G azze TTE,Esili;ragazzette,Esili ragazzette
286,286,Pi;ramo;isbe,Pi ramo ET isbe,Piramo;e;Tisbe,Piramo e Tisbe
287,287,corda;remo;ioni;more,RI corda remo Z ioni D A more,Ricordar;emozioni;d;amore,Ricordar emozioni d'amore
288,288,coli;colo;ali,VI N coli colo N I ali,Vincoli;coloniali,Vincoli coloniali
289,289,barbiere;ala,barbiere G ala TA,Barbara;regalata,Barbara regalata
290,290,anta;epa;ami;amo;rema,C anta R epa R L ami D amo rema RIU,Cantare;Parlami;d;amore;Mario,"Cantare ""Parlami d'amore Mario"""
